,durations_peak_amp
169,16.122857786887003
170,4.43
171,7.711528149580588
172,8.18
173,13.071012555350205
174,12.310000000000002
175,21.279246103135552
176,9.239999999999995
177,14.713311681095737
178,3.9499999999999957
179,5.752476721155755
180,12.399999999999999
181,14.98235439353785
182,15.569999999999993
183,19.650021880267456
184,8.0
185,9.545305755850567
186,6.510000000000005
187,6.5885577120114425
188,10.640000000000008
189,20.214256087301166
190,16.460000000000008
191,17.374679634161765
192,12.25
193,22.61785441468275
194,9.810000000000002
195,15.16788871341536
196,5.849999999999994
197,10.151538274515856
198,16.929999999999993
199,19.512836176529444
200,19.479999999999997
201,36.31562860964141
202,12.049999999999997
203,12.633030011770614
204,6.339999999999996
205,10.555315973858628
206,2.6899999999999977
207,4.616959879112833
208,12.680000000000007
209,13.686727898858662
210,13.700000000000003
211,15.354447104192879
212,2.979999999999997
213,4.431558558067491
214,7.809999999999995
215,14.922043143440435
216,3.1300000000000026
217,6.099896329906171
218,8.529999999999994
219,9.034714529980297
220,15.610000000000007
221,31.07909083583789
222,6.049999999999997
223,9.11055206597633
224,7.790000000000006
225,11.023478257126255
226,9.480000000000004
227,15.289931829231438
228,12.400000000000006
229,24.33195301879415
230,25.650000000000006
231,28.568793725883232
232,12.690000000000005
233,20.64603588173704
234,20.620000000000005
235,33.598864381981144
236,1.4099999999999966
237,2.2440636650154286
238,12.560000000000002
239,14.414275500060482
240,12.420000000000002
241,14.975512995302411
242,10.510000000000005
243,17.939770664826884
244,5.979999999999997
245,9.04928416412762
246,3.1400000000000006
247,3.2857127368729455
248,4.329999999999998
249,5.890357596321357
250,8.609999999999992
251,16.772524316192577
252,11.620000000000005
253,22.93927610680348
254,6.759999999999998
255,8.439772037108158
256,7.950000000000003
257,10.394633814160748
258,14.769999999999996
259,23.272397625206413
260,7.989999999999995
261,14.157041244443223
262,10.420000000000002
263,20.808524585044694
264,18.909999999999997
265,23.227368682254852
266,2.6899999999999977
267,4.872631259432947
268,7.069999999999993
269,12.937280971939225
270,13.360000000000007
271,23.557130932721627
272,4.159999999999997
273,6.205318328488231
274,3.1500000000000057
275,5.703957638002246
276,10.39
277,17.129308181946076
278,12.299999999999997
279,13.427978489106064
280,20.819999999999993
281,38.07216550821488
282,12.260000000000005
283,22.55221796757301
284,8.240000000000009
285,11.975676022513067
286,4.159999999999997
287,4.181575190587729
288,19.28
289,34.671213860555234
290,14.619999999999997
291,16.357748321228396
292,8.450000000000003
293,10.43564129418604
294,7.300000000000004
295,7.397150345604074
296,8.240000000000009
297,14.420435505087351
298,10.14
299,17.227779274179916
300,18.900000000000006
301,30.70369897932976
302,7.899999999999999
303,13.819858389471325
304,12.840000000000003
305,17.03197453901608
306,12.469999999999999
307,17.71217684542542
308,21.760000000000005
309,37.80118907516807
310,7.199999999999996
311,9.63182416906224
312,8.399999999999991
313,10.809071124629503
314,10.900000000000006
315,19.241272660488292
316,11.57
